country_iso3,country_name,mag_max,quakes_count,year_min,year_max
AFG,Afghanistan,7.5,10,1997,2023
ARG,Argentina,7.2,6,2000,2023
ATA,Antarctica,7.1,3,2021,2021
AZE,Azerbaijan,6.8,2,2000,2000
BOL,Bolivia,6.8,4,1998,2018
BRA,Brazil,6.8,3,2015,2022
BWA,Botswana,6.5,1,2017,2017
CAN,Canada,7.8,1,2012,2012
CHL,Chile,8.8,42,1995,2020
CHN,People's Republic of China,7.9,15,1996,2022
COL,Colombia,7.3,8,1995,2023
CRI,Costa Rica,7.6,3,2012,2017
DZA,Algeria,6.8,1,2003,2003
ECU,Ecuador,7.8,10,1995,2023
FJI,Fiji,8.2,10,1998,2022
GRC,Greece,7.0,7,1995,2020
GTM,Guatemala,6.9,3,1998,2017
HTI,Haiti,7.2,2,2010,2021
IDN,Indonesia,9.1,140,1995,2023
IND,India,7.7,6,1999,2016
ISL,Iceland,6.5,2,2000,2000
ITA,Italy,6.6,1,2016,2016
JPN,Japan,7.1,26,1996,2021
KGZ,Kyrgyzstan,6.7,1,2008,2008
MEX,Mexico,8.0,31,1995,2022
MMR,Myanmar,6.9,6,1995,2016
MNG,Mongolia,6.7,1,2021,2021
MOZ,Mozambique,7.0,1,2006,2006
MTQ,Martinique,7.4,1,2007,2007
NIC,Nicaragua,6.7,2,1996,2014
NPL,Nepal,7.8,4,2015,2015
NZL,New Zealand,7.8,9,2003,2016
PAK,Pakistan,7.7,5,1997,2013
PAN,Panama,6.7,4,2002,2022
PER,Peru,8.4,26,1995,2022
PHL,Philippines,7.6,23,1995,2022
PNG,Papua New Guinea,8.0,81,1995,2023
SAU,Saudi Arabia,7.2,1,1995,1995
SGS,South Georgia and the South Sandwich Islands,7.1,1,2018,2018
SLB,Solomon Islands,8.1,25,1996,2022
SLV,El Salvador,6.6,2,1997,2001
TJK,Tajikistan,7.2,2,2015,2023
TKM,Turkmenistan,7.0,1,2000,2000
TON,Tonga,6.6,1,2012,2012
TTO,Trinidad and Tobago,6.7,1,1997,1997
TUR,Turkey,7.6,6,1999,2020
TWN,Taiwan,7.7,9,1996,2022
TZA,Tanzania,6.8,2,2000,2005
USA,United States of America,7.9,24,1996,2021
VEN,Venezuela,7.3,2,1997,2018
VUT,Vanuatu,7.7,36,1995,2023
